ID,Imagen,Nombre,Referencia,EAN13,Categoría,Precio base,Precio final,Cantidad,Estado
8867,http://ilusionstore.es/img/p/8867-6771.jpg,PLUMIER EVA 3D TROLLS MOVIE DREAMWORKS RELLENO,TRO2700-0207,'8427934957217',TROLLS,9.950.000,9.95,9,1
6697,http://ilusionstore.es/img/p/6697-4285.jpg,BOLSA DEPORTE SPIDERMAN MARVEL,SP80405,'8435306280405',SPIDERMAN,9.950.000,9.95,0,1
7240,http://ilusionstore.es/img/p/7240-4956.jpg,MOCHILA GUARDERIA 3D RUBBLE PAW PATROL,PAW2100-1562,'8427934830107',PAW PATROL,6.990.000,6.99,0,1
9467,http://ilusionstore.es/img/p/9467-7563.jpg,BOLSO CORAZON MINNIE DISNEY BUBBLE 10X11.5X5,MN62155,'8435376362155',MINNIE,5.950.000,5.95,11,1
6952,http://ilusionstore.es/img/p/6952-4098.jpg,BOLSA DE DEPORTE PAW PATRO SKYE PUPPIES,SKY61196,'',PAW PATROL GIRL,12.950.000,12.95,0,1
7691,http://ilusionstore.es/img/p/7691-5474.jpg,BOLSO ACCESORIOS DE CABELLO SOY LUNA DISNEY,SOY62957,'8435333862957',SOY LUNA,4.950.000,4.95,30,1
5172,http://ilusionstore.es/img/p/5172-2405.jpg,NECESER PORTATODO 3 COMPARTIMENTOS CARS CANYON,CR91753,'8435306291753',CARS,4.950.000,4.95,13,1
6416,http://ilusionstore.es/img/p/6416-4479.jpg,BLISTER PAPELERIA PAW PATROL 5 PIEZAS-PEGATINAS,PAW76387,'8422535876387',PAW PATROL,1.470.000,1.47,0,1
5425,http://ilusionstore.es/img/p/5425-2625.jpg,RELOJ ANALOGICO FROZEN DISNEY,FZ42935,'8435333842935',FROZEN,3.950.000,3.95,0,1
9117,http://ilusionstore.es/img/p/9117-7209.jpg,RELOJ DIGITAL NEW SPORT PRODIGIOSA LADYBUG,BUG81804,'8435333881804',LADYBUG,3.550.000,3.55,45,1
9004,http://ilusionstore.es/img/p/9004-7096.jpg,MOCHILA 42CM FLAMENCA NEGRO,VAR34574,'8435465034574',VARIOS,12.950.000,12.95,0,1
8578,http://ilusionstore.es/img/p/8578-6432.jpg,MALETA TROLLEY SEMIRIGIDA PRINCESAS DISNEY 50X35CM,PR22861,'8435465022861',PRINCESAS DISNEY,25.950.000,25.95,0,1
6216,http://ilusionstore.es/img/p/6216-4639.jpg,BOLSA VIAJE 45CM MINNIE & DAISY,MN92774,'8435306292774',MINNIE,10.950.000,10.95,0,1
8756,http://ilusionstore.es/img/p/8756-6617.jpg,PELUCHE BRIDGET PREMIUM 35CM. TROLLS MOVIE,TROBRIDGET,'8425611355721',TROLLS,7.750.000,7.75,1,1
8067,http://ilusionstore.es/img/p/8067-5841.jpg,BOLSA DEPORTE / VIAJE 40CM. MINNIE PINK DISNEY,MN21949,'8435465021949',MINNIE,8.950.000,8.95,0,1
7333,http://ilusionstore.es/img/p/7333-5098.jpg,PARAGUAS BURBUJA SKYE & EVEREST PAW PATROL GIRL,SKY2400-0328,'8427934890774',SKYE,3.950.000,3.95,0,1
9551,http://ilusionstore.es/img/p/9551-7641.jpg,PACK 6 ALBORNOZ RIZO MINNIE EN CAJA (T- DE 7 A 12),MN11774,'360908111774',MINNIE,71.900.000,71.9,3,1
8375,http://ilusionstore.es/img/p/8375-6217.jpg,SOMBRERO PREMIUM MINIE DISNEY (T-50-52),MN2200-2053,'8427934910984',MINNIE,3.250.000,3.25,0,1
5496,http://ilusionstore.es/img/p/5496-2686.jpg,TROLLEY TRAVEL FROZEN BLOSSOM DISNEY,FZ52064,'8435376352064',FROZEN,37.950.000,37.95,0,1
8503,http://ilusionstore.es/img/p/8503-6343.jpg,CARTERA EXTRAESCOLAR AVENGERS ICE 38X28X7 CM.,AV23288,'8435465023288',AVENGERS,8.950.000,8.95,0,1
9222,http://ilusionstore.es/img/p/9222-7314.jpg,BILLETERO LARGO HS MICKEY MOVING 20X10.5X4CM.,MCK63930,'8435376363930',MICKEY,10.950.000,10.95,5,1
7392,http://ilusionstore.es/img/p/7392-5158.jpg,SET INVIERNO 3 PIEZAS AVENGERS MARVEL,AV2200-1554,'8427934821570',AVENGERS,7.650.000,7.65,0,1
5299,http://ilusionstore.es/img/p/5299-2511.jpg,SET BELLEZA LITTLE KINGDOM PRINCESAS DISNEY SURT.,DS82987,'8412562882987',DISNEY,7.950.000,7.95,0,1
7869,http://ilusionstore.es/img/p/7869-5610.jpg,BOLSA VIAJE / DEPORTE 40CM. SKYE TOP PUPS,SKY08919,'8435465008919',SKYE,10.950.000,10.95,6,1
5955,http://ilusionstore.es/img/p/5955-3940.jpg,SACO 35CM. MINIONS BOB,MIN53122,'8435376353122',MINIONS,5.450.000,5.45,8,1
8954,http://ilusionstore.es/img/p/8954-6919.jpg,MOCHILA INFANTIL 3D STAR WARS DISNEY 31X25X10CM.,SW2100-1977,'8427934957132',STAR WARS,6.990.000,6.99,3,1
6093,http://ilusionstore.es/img/p/6093-4025.jpg,SACO 41CM MINNIE FLAVORS DISNEY,MN45158,'8435333845158',MINNIE,1.990.000,1.99,5,1
8884,http://ilusionstore.es/img/p/8884-6823.jpg,PORTATODO PLANO 2 CREMALLERAS FROZEN NEVER DISNEY,FZ23200,'8435376323200',FROZEN,2.950.000,2.95,6,1
8700,http://ilusionstore.es/img/p/8700-6547.jpg,GAFAS DE SOL SURTIDAS PRODIGIOSA LADYBUG 2 MODELOS,BUG75467,'5204679075467',LADYBUG,2.050.000,2.05,60,1
7268,http://ilusionstore.es/img/p/7268-5021.jpg,GUANTES MAGICOS MICKEY DISNEY,MCK90571,'8430957090571',MICKEY,1.400.000,1.4,0,1
9490,http://ilusionstore.es/img/p/9490-7584.jpg,BLISTER 12 UNID.RANITAS DE PELO FROZEN DISNEY,FZ23446,'8435333823446',FROZEN,6.500.000,6.5,1,1
6970,http://ilusionstore.es/img/p/6970-4116.jpg,SACO 35CM SOY LUNA LIKE DISNEY,SOY52408,'',SOY LUNA,5.450.000,5.45,0,1
7710,http://ilusionstore.es/img/p/7710-5490.jpg,PORTATODO FORMA BOTA ATLETICO DE MADRID,FUT32726,'8426842032726',FUTBOL,6.950.000,6.95,19,1
6460,http://ilusionstore.es/img/p/6460-4457.jpg,MOCHILA ADAPTABLE 33 CM CON CARRO PAWA ON DECK,PAW93900,'8435306293900',PAW PATROL,15.200.000,15.2,0,1
5479,http://ilusionstore.es/img/p/5479-2669.jpg,PORTATODO BOOK FROZEN MAGIC DISNEY,FZ51838,'8435376351838',FROZEN,4.950.000,4.95,0,1
9134,http://ilusionstore.es/img/p/9134-7226.jpg,SACO MOCHILA SPIDERMAN MARVEL CITY 30X40CM.,SP28122,'8435465028122',SPIDERMAN,3.950.000,3.95,15,1
9021,http://ilusionstore.es/img/p/9021-7113.jpg,NECESER 3 CREMALLERAS STARS,VAR35267,'8435465035267',VARIOS,3.250.000,3.25,5,1
8596,http://ilusionstore.es/img/p/8596-6450.jpg,BOLSA DEPORTE/VIAJE LADYBUG MARINETTE 30X45X22CM.,BUG08313,'8435376308313',LADYBUG,12.950.000,12.95,0,1
6249,http://ilusionstore.es/img/p/6249-4618.jpg,BOLSO MUFFIN MINI BLUE SEA BUSCANDO A DORY DISNEY,NEM51647,'8435376351647',BUSCANDO A DORY,6.950.000,6.95,0,1
8773,http://ilusionstore.es/img/p/8773-6649.jpg,MOCHILA CLASSIC MICKEY FREE TIME DISNEY 42X30X20CM,MCK36071,'8435376336071',MICKEY,16.950.000,16.95,2,1
8268,http://ilusionstore.es/img/p/8268-6111.jpg,MOCHILA INFANTIL FROZEN SUMMER DISNEY 30X26X10CM.,FZ27048,'8435376327048',FROZEN,8.950.000,8.95,0,1
7358,http://ilusionstore.es/img/p/7358-5122.jpg,BLAZE MOCHILA INFANTIL SPEED,BLA37292,'8435376937292',BLAZE,10.950.000,10.95,0,1
9568,http://ilusionstore.es/img/p/9568-7658.jpg,BOLSA DE VIAJE-DEPORTE 28X40X22 CM. FROZEN STAR,FZ36202,'8435465036202',FROZEN,8.950.000,8.95,10,1
8392,http://ilusionstore.es/img/p/8392-6234.jpg,TOALLA PLAYA 100% ALGODON PAW PATROL (70X140CM.),PAW2200-2141,'8427934916290',PAW PATROL,6.950.000,6.95,0,1
5519,http://ilusionstore.es/img/p/5519-2707.jpg,PUZZLE 2X11 FROZEN,FZ57675,'8412668157675',FROZEN,7.500.000,7.5,0,1
8522,http://ilusionstore.es/img/p/8522-6362.jpg,MOCHILA ADAPTABLE 2 CREMALLERAS 42CM STAR WARS,SW86056,'8435306286056',STAR WARS,17.950.000,17.95,3,1
9239,http://ilusionstore.es/img/p/9239-7331.jpg,BRAGA DE CUELLO CORALINA SURT. PRODIGIOSA LADYBUG,BUG03791,'5991328503791',LADYBUG,2.250.000,2.25,44,1
7935,http://ilusionstore.es/img/p/7935-5683.jpg,MALETA TROLLEY SEMIRIGIDA 50CM.FROZEN MAGIC DISNEY,FZ12794,'8435465012794',FROZEN,25.950.000,25.95,0,1
7046,http://ilusionstore.es/img/p/7046-4688.jpg,MOCHILA ADAPTABLE 33CM. BLAZE MONSTER MACHINES,BLA03501,'8435465003501',BLAZE,11.500.000,11.5,0,1
7413,http://ilusionstore.es/img/p/7413-5179.jpg,GUANTES MAGICOS PAW PATROL BOY,PAW2200-1637,'8427934822454',PAW PATROL,1.700.000,1.7,0,1
9368,http://ilusionstore.es/img/p/9368-7461.jpg,PACK 3 PIJAMA POLAR 2PZ TROLLS MOVIE (T-4/5/6/8),TRO2200-2307,'8427934947782',TROLLS,37.000.000,37,3,1
8662,http://ilusionstore.es/img/p/8662-6516.jpg,SET COMEDOR NECESER SOY LUNA 5 PIEZAS DISNEY,SOY43791,'8427934943791',SOY LUNA,4.600.000,4.6,0,1
9644,http://ilusionstore.es/img/p/9644-7734.jpg,FIGURA TITAN AVENGERS IRON MAN ARTICULADO 30CM,AV51046,'5010993351046',AVENGERS,11.250.000,11.25,4,1
8333,http://ilusionstore.es/img/p/8333-6176.jpg,GORRA SURTIDA CARS DISNEY (T53CM.) DE 3 A 8 AÑOS,CR2200-2016,'8427934910779',CARS,2.600.000,2.6,0,1
6564,http://ilusionstore.es/img/p/6564-4395.jpg,TROLLEY MOCHILA INFANTIL 28CM SKYE PAW PATROL,SKY2100-1157,'8427934812349',PAW PATROL GIRL,13.450.000,13.45,0,1
8456,http://ilusionstore.es/img/p/8456-6298.jpg,PACK 6 CHANCLA SPORT EVA SPIDERMAN (T24 A 31),SP2300-2400,'8427934913909',SPIDERMAN,32.700.000,32.7,0,1
6770,http://ilusionstore.es/img/p/6770-4236.jpg,RELOJ ALARMA STAR WARS (CH),SW2600-0062,'8427934787159',STAR WARS,4.950.000,4.95,0,1
9280,http://ilusionstore.es/img/p/9280-7376.jpg,PACK 12 DEPORTIVAS BAJA LUZ LADYBUG (T-27 A LA 34),BUG2300-2583,'8427934958245',LADYBUG,239.400.000,239.4,2,1
8022,http://ilusionstore.es/img/p/8022-5795.jpg,LADYBUG Ptodo. Book Ladybug,BUG27994,'8435376327994',LADYBUG,3.950.000,3.95,5,1
5012,http://ilusionstore.es/img/p/5012-3832.jpg,TOALLA PLAYA AVENGERS EARTH MARVEL 140X70CM,AV45684,'8435333845684',AVENGERS,5.450.000,5.45,6,1
7164,http://ilusionstore.es/img/p/7164-4820.jpg,MALETA TROLLEY SOFT 55CM. BLAZA MONSTER MACHINES,BLA03655,'8435465003655',BLAZE AND THE MONSTER MACHINES,25.950.000,25.95,0,1
7571,http://ilusionstore.es/img/p/7571-5340.jpg,BOLSO ACTION MINI HORIZONTAL BETTY BOOP TOWN,BB94082,'',BETTY BOOP,6.550.000,6.55,0,1
9432,http://ilusionstore.es/img/p/9432-7527.jpg,MALETA TROLLEY SEMIRIDA PAW PATROL BOY 50CM.,PAW01576,'8435465001576',PAW PATROL,34.900.000,26.18,4,1
5183,http://ilusionstore.es/img/p/5183-2412.jpg,DESCENDANTS BOTELLA SPORT DISNEY,DES14329,'8412497814329',DESCENDANTS,1.600.000,1.6,0,1
7830,http://ilusionstore.es/img/p/7830-5575.jpg,FIGURA TITAN IRON MAN AVENGERS MARVEL 30CM.,AV60230,'5010994960230',AVENGERS,10.500.000,10.5,0,1
5853,http://ilusionstore.es/img/p/5853-4884.jpg,MINIONS MANTA POLAR MOVIE SURTIDA,MIN0323,'8446650050323',MINIONS,3.700.000,3.7,0,1
9708,http://ilusionstore.es/img/p/9708-7798.jpg,MOCHILA INFANTIL SHIMMER AND SHINE 30X26X9.5CM,SH62926,'8435376362926',SHIMMER & SHINE PETS,8.950.000,8.95,9,1
8851,http://ilusionstore.es/img/p/8851-6754.jpg,Saco Spiderman Marvel Dark 44X33X1CM,SP50527,'8435376350527',SPIDERMAN,1.950.000,1.95,7,1
